MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventType,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
1,Huskies,5,15,2H,60,Substitution,Substitution,,,,
1,Huskies,20,26,2H,900,Substitution,Substitution,,,,
1,Huskies,9,11,2H,1920,Substitution,Substitution,,,,
2,Huskies,26,18,2H,960,Substitution,Substitution,,,,
2,Huskies,5,20,2H,960,Substitution,Substitution,,,,
2,Huskies,10,21,2H,2700,Substitution,Substitution,,,,
3,Huskies,26,21,2H,60,Substitution,Substitution,,,,
3,Huskies,9,29,2H,1020,Substitution,Substitution,,,,
3,Huskies,6,12,2H,2280,Substitution,Substitution,,,,
4,Huskies,9,26,2H,60,Substitution,Substitution,,,,
4,Huskies,20,29,2H,60,Substitution,Substitution,,,,
4,Huskies,17,27,2H,2100,Substitution,Substitution,,,,
5,Huskies,26,9,2H,1260,Substitution,Substitution,,,,
5,Huskies,17,29,2H,1860,Substitution,Substitution,,,,
5,Huskies,10,11,2H,2220,Substitution,Substitution,,,,
6,Huskies,20,26,2H,600,Substitution,Substitution,,,,
6,Huskies,10,19,2H,600,Substitution,Substitution,,,,
6,Huskies,15,43,2H,1860,Substitution,Substitution,,,,
7,Huskies,2,10,2H,1080,Substitution,Substitution,,,,
7,Huskies,27,26,2H,1440,Substitution,Substitution,,,,
7,Huskies,19,9,2H,2220,Substitution,Substitution,,,,
8,Huskies,17,19,2H,1440,Substitution,Substitution,,,,
8,Huskies,3,11,2H,2280,Substitution,Substitution,,,,
8,Huskies,10,26,2H,2700,Substitution,Substitution,,,,
9,Huskies,5,26,2H,60,Substitution,Substitution,,,,
9,Huskies,10,31,2H,1740,Substitution,Substitution,,,,
9,Huskies,29,19,2H,1800,Substitution,Substitution,,,,
10,Huskies,11,19,2H,60,Substitution,Substitution,,,,
10,Huskies,12,50,2H,60,Substitution,Substitution,,,,
10,Huskies,10,18,2H,1740,Substitution,Substitution,,,,
11,Huskies,50,31,2H,600,Substitution,Substitution,,,,
11,Huskies,10,29,2H,1320,Substitution,Substitution,,,,
11,Huskies,18,12,2H,2400,Substitution,Substitution,,,,
12,Huskies,31,26,2H,60,Substitution,Substitution,,,,
12,Huskies,2,29,2H,60,Substitution,Substitution,,,,
12,Huskies,12,9,2H,1860,Substitution,Substitution,,,,
13,Huskies,3,5,1H,1620,Substitution,Substitution,,,,
13,Huskies,11,31,2H,1140,Substitution,Substitution,,,,
13,Huskies,4,27,2H,1800,Substitution,Substitution,,,,
14,Huskies,10,50,2H,2400,Substitution,Substitution,,,,
14,Huskies,12,31,2H,2640,Substitution,Substitution,,,,
14,Huskies,29,27,2H,2760,Substitution,Substitution,,,,
15,Huskies,26,2,2H,1260,Substitution,Substitution,,,,
15,Huskies,12,31,2H,1560,Substitution,Substitution,,,,
15,Huskies,10,4,2H,2100,Substitution,Substitution,,,,
16,Huskies,26,12,2H,60,Substitution,Substitution,,,,
16,Huskies,19,2,2H,60,Substitution,Substitution,,,,
16,Huskies,10,6,2H,2280,Substitution,Substitution,,,,
17,Huskies,12,27,2H,960,Substitution,Substitution,,,,
17,Huskies,10,26,2H,1920,Substitution,Substitution,,,,
17,Huskies,18,6,2H,2400,Substitution,Substitution,,,,
18,Huskies,2,26,2H,900,Substitution,Substitution,,,,
18,Huskies,12,31,2H,2040,Substitution,Substitution,,,,
18,Huskies,10,9,2H,2640,Substitution,Substitution,,,,
19,Huskies,26,9,2H,120,Substitution,Substitution,,,,
19,Huskies,12,5,2H,120,Substitution,Substitution,,,,
19,Huskies,17,50,2H,360,Substitution,Substitution,,,,
20,Huskies,7,19,2H,960,Substitution,Substitution,,,,
20,Huskies,29,12,2H,960,Substitution,Substitution,,,,
20,Huskies,26,50,2H,2580,Substitution,Substitution,,,,
21,Huskies,16,10,2H,60,Substitution,Substitution,,,,
21,Huskies,29,19,2H,540,Substitution,Substitution,,,,
21,Huskies,17,7,2H,1560,Substitution,Substitution,,,,
22,Huskies,7,16,2H,1020,Substitution,Substitution,,,,
22,Huskies,10,12,2H,1020,Substitution,Substitution,,,,
22,Huskies,19,29,2H,2160,Substitution,Substitution,,,,
23,Huskies,7,12,2H,780,Substitution,Substitution,,,,
23,Huskies,14,29,2H,1020,Substitution,Substitution,,,,
23,Huskies,16,2,2H,1620,Substitution,Substitution,,,,
24,Huskies,27,7,2H,60,Substitution,Substitution,,,,
24,Huskies,16,10,2H,960,Substitution,Substitution,,,,
24,Huskies,14,19,2H,1440,Substitution,Substitution,,,,
25,Huskies,18,29,2H,2160,Substitution,Substitution,,,,
25,Huskies,10,2,2H,2160,Substitution,Substitution,,,,
25,Huskies,19,5,2H,2580,Substitution,Substitution,,,,
26,Huskies,4,26,2H,60,Substitution,Substitution,,,,
26,Huskies,11,29,2H,960,Substitution,Substitution,,,,
26,Huskies,19,14,2H,1980,Substitution,Substitution,,,,
27,Huskies,13,5,1H,2700,Substitution,Substitution,,,,
27,Huskies,23,43,2H,60,Substitution,Substitution,,,,
27,Huskies,17,2,2H,2100,Substitution,Substitution,,,,
28,Huskies,19,14,2H,720,Substitution,Substitution,,,,
28,Huskies,18,7,2H,2220,Substitution,Substitution,,,,
28,Huskies,10,29,2H,2220,Substitution,Substitution,,,,
29,Huskies,26,10,2H,840,Substitution,Substitution,,,,
29,Huskies,14,19,2H,1380,Substitution,Substitution,,,,
29,Huskies,18,7,2H,2280,Substitution,Substitution,,,,
30,Huskies,11,29,2H,1680,Substitution,Substitution,,,,
30,Huskies,7,30,2H,1980,Substitution,Substitution,,,,
30,Huskies,26,20,2H,2340,Substitution,Substitution,,,,
31,Huskies,26,29,2H,480,Substitution,Substitution,,,,
31,Huskies,10,2,2H,2520,Substitution,Substitution,,,,
31,Huskies,7,30,2H,2820,Substitution,Substitution,,,,
32,Huskies,10,26,2H,660,Substitution,Substitution,,,,
32,Huskies,29,50,2H,1740,Substitution,Substitution,,,,
32,Huskies,14,19,2H,2040,Substitution,Substitution,,,,
33,Huskies,10,17,2H,720,Substitution,Substitution,,,,
33,Huskies,7,29,2H,960,Substitution,Substitution,,,,
33,Huskies,26,50,2H,2100,Substitution,Substitution,,,,
34,Huskies,17,50,2H,1440,Substitution,Substitution,,,,
34,Huskies,7,25,2H,1860,Substitution,Substitution,,,,
34,Huskies,10,27,2H,2520,Substitution,Substitution,,,,
35,Huskies,2,26,2H,420,Substitution,Substitution,,,,
35,Huskies,7,29,2H,840,Substitution,Substitution,,,,
35,Huskies,14,19,2H,2400,Substitution,Substitution,,,,
36,Huskies,10,26,2H,1080,Substitution,Substitution,,,,
36,Huskies,14,19,2H,1620,Substitution,Substitution,,,,
36,Huskies,27,25,2H,1800,Substitution,Substitution,,,,
37,Huskies,7,25,2H,60,Substitution,Substitution,,,,
37,Huskies,27,19,2H,780,Substitution,Substitution,,,,
37,Huskies,6,20,2H,2100,Substitution,Substitution,,,,
38,Huskies,25,20,2H,60,Substitution,Substitution,,,,
38,Huskies,14,11,2H,960,Substitution,Substitution,,,,
38,Huskies,26,7,2H,2280,Substitution,Substitution,,,,
